TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2019,8,27,4,12,10XX ALBERNI ST,West End,491004.8164,5459177.313
Break and Enter Commercial,2019,12,31,23,30,10XX BEACH AVE,West End,490197.4785,5458239.4212
Break and Enter Commercial,2019,1,6,1,36,10XX BEACH AVE,West End,490234.4136,5458201.015
Break and Enter Commercial,2019,6,9,10,58,10XX BEACH AVE,West End,490234.4136,5458201.015
Break and Enter Commercial,2019,6,10,4,30,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2019,7,21,11,21,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2019,4,7,15,8,10XX BEACH AVE,Central Business District,490255.5322,5458158.6131
Break and Enter Commercial,2019,12,16,4,30,10XX BEACH AVE,Central Business District,490255.5322,5458158.6131
Break and Enter Commercial,2019,4,10,13,50,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,10,19,7,50,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,11,14,5,46,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,11,22,7,27,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2019,8,3,8,0,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2019,4,24,7,25,10XX BROUGHTON ST,West End,490269.4243,5459193.6278
Break and Enter Commercial,2019,12,28,22,30,10XX BROUGHTON ST,West End,490269.4243,5459193.6278
Break and Enter Commercial,2019,4,12,18,22,10XX BURNABY ST,West End,490440.3175,5458486.9612
Break and Enter Commercial,2019,11,7,3,20,10XX BURNABY ST,West End,490495.4166,5458443.882
Break and Enter Commercial,2019,12,26,6,23,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2019,1,16,0,0,10XX BURRARD ST,Central Business District,490729.9102,5458609.3957
Break and Enter Commercial,2019,5,17,6,50,10XX BURRARD ST,Central Business District,490729.9102,5458609.3957
Break and Enter Commercial,2019,3,16,10,34,10XX BURRARD ST,West End,490806.2772,5458701.6118
Break and Enter Commercial,2019,8,3,18,0,10XX CAMBIE ST,Central Business District,491344.7882,5458059.2203
Break and Enter Commercial,2019,7,8,6,51,10XX CAMBIE ST,Central Business District,491377.5652,5458122.5941
Break and Enter Commercial,2019,12,18,5,0,10XX CANADA PL,Central Business District,491434.1768,5459565.0465
Break and Enter Commercial,2019,3,19,3,38,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,6,21,4,35,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,6,23,5,4,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,6,23,5,13,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,9,26,6,10,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,10,18,2,42,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,11,1,0,38,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,11,17,4,36,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,12,28,3,20,10XX CANADA PL,Central Business District,491492.0426,5459540.3896
Break and Enter Commercial,2019,8,5,13,3,10XX CANADA PL,Central Business District,491519.3199,5459518.8272
Break and Enter Commercial,2019,11,4,7,23,10XX COMMERCIAL DR,Grandview-Woodland,494937.4605,5458083.3684
Break and Enter Commercial,2019,11,15,1,15,10XX COMMERCIAL DR,Grandview-Woodland,494937.4605,5458083.3684
Break and Enter Commercial,2019,9,15,14,13,10XX COMOX ST,West End,490653.759,5458753.9139
Break and Enter Commercial,2019,4,17,15,30,10XX DAVIE ST,West End,490558.3446,5458527.0734
Break and Enter Commercial,2019,1,2,2,45,10XX DENMAN ST,West End,489824.8434,5459533.135
Break and Enter Commercial,2019,12,22,0,20,10XX DENMAN ST,West End,489865.7016,5459587.088
Break and Enter Commercial,2019,8,30,10,38,10XX E BROADWAY AVE,Mount Pleasant,493987.8282,5456638.0059
Break and Enter Commercial,2019,2,24,6,0,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.8066
Break and Enter Commercial,2019,6,5,6,12,10XX E CORDOVA ST,Strathcona,494075.0427,5458803.7118
Break and Enter Commercial,2019,1,22,22,0,10XX E KENT AVE N,Sunset,493846.5284,5450670.0158
Break and Enter Commercial,2019,12,10,14,55,10XX GRANVILLE ST,Central Business District,490976.3891,5458424.1806
Break and Enter Commercial,2019,12,27,10,37,10XX GRANVILLE ST,Central Business District,491000.3223,5458448.6497
Break and Enter Commercial,2019,10,9,6,29,10XX GRANVILLE ST,Central Business District,491025.2148,5458487.1767
Break and Enter Commercial,2019,11,12,16,30,10XX HAMILTON ST,Central Business District,491200.3411,5458150.1159
Break and Enter Commercial,2019,6,24,7,15,10XX HAMILTON ST,Central Business District,491285.292,5458223.5386
Break and Enter Commercial,2019,11,22,3,25,10XX HARO ST,West End,490907.1712,5458965.9806
Break and Enter Commercial,2019,1,27,6,29,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Break and Enter Commercial,2019,1,28,22,0,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Break and Enter Commercial,2019,8,1,22,0,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Break and Enter Commercial,2019,9,23,12,4,10XX HOMER ST,Central Business District,491196.8749,5458219.0518
Break and Enter Commercial,2019,6,11,3,30,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Break and Enter Commercial,2019,6,11,5,0,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Break and Enter Commercial,2019,12,29,0,0,10XX HOMER ST,Central Business District,491255.8873,5458292.2401
Break and Enter Commercial,2019,10,2,9,23,10XX HOWE ST,Central Business District,490869.6779,5458475.5759
Break and Enter Commercial,2019,4,14,11,19,10XX HOWE ST,Central Business District,490891.0561,5458484.3504
Break and Enter Commercial,2019,9,20,4,27,10XX HOWE ST,Central Business District,490945.0676,5458552.6272
Break and Enter Commercial,2019,7,27,12,44,10XX JERVIS ST,West End,490412.2089,5459133.6754
Break and Enter Commercial,2019,6,18,0,0,10XX KEEFER ST,Strathcona,494058.4457,5458493.2122
Break and Enter Commercial,2019,3,5,21,30,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493928.8972,5455669.3242
Break and Enter Commercial,2019,9,15,19,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493973.5265,5455626.2586
Break and Enter Commercial,2019,10,8,17,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494013.2889,5455597.6348
Break and Enter Commercial,2019,11,1,1,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494036.9169,5455580.6261
Break and Enter Commercial,2019,7,26,14,30,10XX LAGOON DR,Stanley Park,489317.118,5460043.1044
Break and Enter Commercial,2019,6,16,9,3,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2019,7,15,4,25,10XX MAIN ST,Central Business District,492723.7706,5458103.8792
Break and Enter Commercial,2019,1,6,7,7,10XX MAINLAND ST,Central Business District,491256.4853,5458128.293
Break and Enter Commercial,2019,4,30,3,55,10XX MAINLAND ST,Central Business District,491259.565,5458118.3129
Break and Enter Commercial,2019,6,7,15,30,10XX MAINLAND ST,Central Business District,491260.9943,5458119.7955
Break and Enter Commercial,2019,9,11,5,49,10XX MAINLAND ST,Central Business District,491273.0747,5458145.4989
Break and Enter Commercial,2019,11,5,15,22,10XX MAINLAND ST,Central Business District,491324.5391,5458185.7001
Break and Enter Commercial,2019,12,27,11,44,10XX MARINASIDE CRES,Central Business District,491400.994,5457872.4225
Break and Enter Commercial,2019,5,21,17,28,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.8202
Break and Enter Commercial,2019,9,23,20,0,10XX MARINASIDE CRES,Central Business District,491613.9262,5457845.8848
Break and Enter Commercial,2019,10,21,2,30,10XX MARINASIDE CRES,Central Business District,491613.9262,5457845.8848
Break and Enter Commercial,2019,8,20,19,14,10XX NELSON ST,West End,490730.0087,5458831.7762
Break and Enter Commercial,2019,9,7,19,33,10XX NELSON ST,West End,490766.889,5458782.4641
Break and Enter Commercial,2019,9,11,2,15,10XX NELSON ST,West End,490766.889,5458782.4641
Break and Enter Commercial,2019,12,7,0,16,10XX NELSON ST,West End,490806.6828,5458743.1289
Break and Enter Commercial,2019,9,1,0,59,10XX PACIFIC ST,West End,490298.1327,5458316.5676
Break and Enter Commercial,2019,4,9,6,13,10XX PACIFIC ST,West End,490351.6917,5458276.3433
Break and Enter Commercial,2019,1,18,16,30,10XX PARK DR,Marpole,490477.8438,5451322.7406
Break and Enter Commercial,2019,5,16,20,31,10XX QUEBEC ST,Central Business District,492582.9465,5458106.3824
Break and Enter Commercial,2019,4,25,2,13,10XX RICHARDS ST,Central Business District,491097.481,5458263.2039
Break and Enter Commercial,2019,3,23,15,10,10XX RICHARDS ST,Central Business District,491126.7883,5458305.4868
Break and Enter Commercial,2019,4,25,4,9,10XX ROBSON ST,West End,490945.1763,5459083.5729
Break and Enter Commercial,2019,6,6,2,44,10XX ROBSON ST,West End,490945.1763,5459083.5729
Break and Enter Commercial,2019,6,17,4,30,10XX ROBSON ST,West End,490945.1763,5459083.5729
Break and Enter Commercial,2019,5,4,4,42,10XX ROBSON ST,West End,490964.3777,5459051.7426
Break and Enter Commercial,2019,5,10,5,43,10XX ROBSON ST,West End,490998.5493,5459017.9742
Break and Enter Commercial,2019,5,31,8,0,10XX ROBSON ST,West End,491014.6049,5459002.1076
Break and Enter Commercial,2019,11,24,6,33,10XX ROBSON ST,West End,491014.6049,5459002.1076
Break and Enter Commercial,2019,9,30,3,3,10XX ROBSON ST,West End,491022.0625,5459007.594
Break and Enter Commercial,2019,10,25,5,38,10XX ROBSON ST,West End,491022.0625,5459007.594
Break and Enter Commercial,2019,10,28,4,44,10XX ROBSON ST,West End,491022.0625,5459007.594
Break and Enter Commercial,2019,11,22,19,10,10XX ROBSON ST,West End,491039.1431,5458977.859
Break and Enter Commercial,2019,4,21,16,54,10XX SCANTLINGS AVE,Fairview,490703.9333,5457207.4317
Break and Enter Commercial,2019,1,1,0,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2019,1,27,8,20,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2019,1,28,9,5,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2019,2,15,0,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2019,2,23,16,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2019,2,24,22,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2019,3,23,2,49,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2019,9,22,7,3,10XX SEYMOUR ST,Central Business District,491024.4274,5458325.042
Break and Enter Commercial,2019,3,9,0,0,10XX SEYMOUR ST,Central Business District,491035.1506,5458335.9447
Break and Enter Commercial,2019,7,9,9,36,10XX SMITHE ST,West End,490881.2311,5458957.2538
Break and Enter Commercial,2019,7,17,11,47,10XX SMITHE ST,West End,490881.2311,5458957.2538
Break and Enter Commercial,2019,7,15,0,1,10XX STATION ST,Strathcona,492788.8423,5458081.2304
Break and Enter Commercial,2019,9,12,6,32,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2019,10,26,0,0,10XX W 13TH AVE,Fairview,490696.2842,5456324.14
Break and Enter Commercial,2019,3,27,8,21,10XX W 14TH AVE,Fairview,490624.2027,5456224.152
Break and Enter Commercial,2019,11,11,4,35,10XX W 14TH AVE,Fairview,490624.2027,5456224.152
Break and Enter Commercial,2019,11,13,18,0,10XX W 14TH AVE,Fairview,490647.7767,5456232.6681
Break and Enter Commercial,2019,7,13,1,48,10XX W 14TH AVE,Fairview,490720.8525,5456221.5641
Break and Enter Commercial,2019,4,18,8,19,10XX W 15TH AVE,Fairview,490714.1852,5456129.8106
Break and Enter Commercial,2019,4,14,5,13,10XX W 8TH AVE,Fairview,490724.578,5456854.3101
Break and Enter Commercial,2019,9,10,20,0,10XX W BROADWAY AVE,Fairview,490636.2014,5456754.2671
Break and Enter Commercial,2019,11,22,20,0,10XX W BROADWAY AVE,Fairview,490669.2388,5456744.2745
Break and Enter Commercial,2019,10,10,0,0,10XX W BROADWAY AVE,Fairview,490692.7628,5456752.8194
Break and Enter Commercial,2019,1,16,3,56,10XX W BROADWAY AVE,Fairview,490779.127,5456750.6087
Break and Enter Commercial,2019,5,7,22,15,10XX W GEORGIA ST,Central Business District,491115.4503,5459163.4771
Break and Enter Commercial,2019,6,23,11,24,10XX W GEORGIA ST,Central Business District,491115.4503,5459163.4771
Break and Enter Commercial,2019,10,10,2,0,10XX W HASTINGS ST,Central Business District,491449.2475,5459411.3564
Break and Enter Commercial,2019,5,26,4,20,10XX W HASTINGS ST,Central Business District,491451.6338,5459410.3303
Break and Enter Commercial,2019,10,10,5,0,10XX W PENDER ST,Central Business District,491263.9592,5459407.5907
Break and Enter Commercial,2019,10,13,21,7,10XX W PENDER ST,Central Business District,491263.9592,5459407.5907
Break and Enter Commercial,2019,8,13,4,11,10XX W PENDER ST,Central Business District,491332.2968,5459374.751
Break and Enter Commercial,2019,9,23,12,7,10XX W PENDER ST,Central Business District,491351.6216,5459364.4865
Break and Enter Commercial,2019,11,2,4,55,10XX W PENDER ST,Central Business District,491369.7613,5459365.2054
Break and Enter Commercial,2019,11,13,2,18,11XX ALBERNI ST,West End,490886.0952,5459292.4675
Break and Enter Commercial,2019,1,4,4,18,11XX ALBERNI ST,West End,490892.0007,5459286.7473
Break and Enter Commercial,2019,8,13,3,49,11XX ALBERNI ST,West End,490892.0007,5459286.7473
Break and Enter Commercial,2019,1,20,3,36,11XX ALBERNI ST,West End,490893.8375,5459284.9676
Break and Enter Commercial,2019,3,25,18,53,11XX ALBERNI ST,West End,490983.9912,5459210.3728
Break and Enter Commercial,2019,6,23,0,30,11XX BARCLAY ST,West End,490719.7587,5458990.7341
Break and Enter Commercial,2019,9,4,10,52,11XX BARCLAY ST,West End,490719.7587,5458990.7341
Break and Enter Commercial,2019,8,30,2,30,11XX BEACH AVE,West End,490112.0381,5458390.0321
Break and Enter Commercial,2019,6,24,0,35,11XX BEACH AVE,West End,490136.1724,5458353.3161
Break and Enter Commercial,2019,8,28,5,0,11XX BIDWELL ST,West End,489821.5559,5459300.1997
Break and Enter Commercial,2019,8,20,14,20,11XX BURNABY ST,West End,490256.469,5458669.4158
Break and Enter Commercial,2019,3,13,3,20,11XX BURNABY ST,West End,490349.8498,5458577.9878
Break and Enter Commercial,2019,10,19,0,0,11XX BUTE ST,West End,490351.1624,5458833.7118
Break and Enter Commercial,2019,12,15,4,45,11XX COMOX ST,West End,490540.598,5458867.0676
Break and Enter Commercial,2019,11,24,2,50,11XX E BROADWAY AVE,Mount Pleasant,494129.2655,5456626.8944
Break and Enter Commercial,2019,8,30,16,22,11XX E GEORGIA ST,Strathcona,494128.3922,5458384.8592
Break and Enter Commercial,2019,6,23,17,0,11XX E HASTINGS ST,Strathcona,494231.0362,5458710.8472
Break and Enter Commercial,2019,11,10,15,0,11XX FORGE WALK,Fairview,490609.498,5457143.307
Break and Enter Commercial,2019,4,4,19,56,11XX FRANKLIN ST,Strathcona,494180.215,5458846.2595
Break and Enter Commercial,2019,4,7,21,29,11XX FRANKLIN ST,Strathcona,494180.215,5458846.2595
Break and Enter Commercial,2019,8,15,5,51,11XX FRANKLIN ST,Strathcona,494180.215,5458846.2595
Break and Enter Commercial,2019,7,7,5,30,11XX GARDEN DR,Grandview-Woodland,495791.0039,5457951.3912
Break and Enter Commercial,2019,5,10,0,0,11XX GILFORD ST,West End,489669.3754,5459617.6932
Break and Enter Commercial,2019,5,9,18,0,11XX GILFORD ST,West End,489675.857,5459611.2429
Break and Enter Commercial,2019,1,16,22,0,11XX GRANT ST,Strathcona,494237.7827,5457645.9943
Break and Enter Commercial,2019,7,13,9,48,11XX GRANVILLE ST,Central Business District,490841.3229,5458287.7785
Break and Enter Commercial,2019,1,23,19,0,11XX GRANVILLE ST,Central Business District,490902.4982,5458349.2784
Break and Enter Commercial,2019,7,17,9,37,11XX HAMILTON ST,Central Business District,491165.4836,5458114.9404
Break and Enter Commercial,2019,10,28,0,0,11XX HAMILTON ST,Central Business District,491169.8317,5458106.3448
Break and Enter Commercial,2019,10,28,4,0,11XX HAMILTON ST,Central Business District,491169.8317,5458106.3448
Break and Enter Commercial,2019,2,22,20,0,11XX HARO ST,West End,490760.8887,5459101.1203
Break and Enter Commercial,2019,4,1,22,30,11XX HARO ST,West End,490800.6769,5459060.2944
Break and Enter Commercial,2019,5,7,2,6,11XX HARO ST,West End,490800.6769,5459060.2944
Break and Enter Commercial,2019,8,4,17,19,11XX HARWOOD ST,West End,490190.4567,5458582.7025
Break and Enter Commercial,2019,8,19,17,0,11XX HARWOOD ST,West End,490225.1858,5458548.4101
Break and Enter Commercial,2019,6,30,3,2,11XX HARWOOD ST,West End,490240.8715,5458545.7721
Break and Enter Commercial,2019,8,19,8,54,11XX HARWOOD ST,West End,490259.9148,5458514.1177
Break and Enter Commercial,2019,9,17,1,5,11XX HARWOOD ST,West End,490259.9148,5458514.1177
Break and Enter Commercial,2019,3,24,3,15,11XX HARWOOD ST,West End,490294.9011,5458479.5716
Break and Enter Commercial,2019,1,14,15,29,11XX HOMER ST,Central Business District,491060.0978,5458081.9351
Break and Enter Commercial,2019,3,9,23,16,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2019,7,13,4,20,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2019,8,6,9,47,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2019,9,13,10,24,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2019,11,4,15,0,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2019,7,1,2,0,11XX HOWE ST,Central Business District,490761.5547,5458365.9588
Break and Enter Commercial,2019,10,28,6,6,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2019,5,30,5,0,11XX JERVIS ST,West End,490236.5276,5458948.4054
Break and Enter Commercial,2019,12,29,23,15,11XX JERVIS ST,West End,490303.9014,5459015.2281
Break and Enter Commercial,2019,5,17,8,44,11XX LAMEYS MILL RD,Fairview,490579.0753,5457083.81
Break and Enter Commercial,2019,7,4,5,18,11XX MAIN ST,Central Business District,492719.3168,5457950.0873
Break and Enter Commercial,2019,9,6,4,12,11XX MAIN ST,Central Business District,492719.3168,5457950.0873
Break and Enter Commercial,2019,4,3,7,15,11XX MAIN ST,Central Business District,492719.5039,5457955.469
Break and Enter Commercial,2019,1,17,19,49,11XX MAIN ST,Central Business District,492720.2567,5457977.1068
Break and Enter Commercial,2019,11,21,20,53,11XX MAIN ST,Central Business District,492720.2567,5457977.1068
Break and Enter Commercial,2019,4,3,9,57,11XX MAIN ST,Central Business District,492721.0099,5457998.7443
Break and Enter Commercial,2019,10,11,16,0,11XX MAINLAND ST,Central Business District,491144.3538,5458003.1045
Break and Enter Commercial,2019,1,12,0,0,11XX MELVILLE ST,Central Business District,490982.6079,5459443.7368
Break and Enter Commercial,2019,7,14,2,30,11XX MELVILLE ST,Central Business District,490982.6079,5459443.7368
Break and Enter Commercial,2019,3,14,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2019,3,22,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2019,9,28,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2019,10,1,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2019,10,6,19,15,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2019,10,20,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2019,11,21,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.0579
Break and Enter Commercial,2019,10,13,14,0,11XX MELVILLE ST,Central Business District,491020.5968,5459406.9826
Break and Enter Commercial,2019,9,2,23,15,11XX MELVILLE ST,Central Business District,491109.3397,5459333.8457
Break and Enter Commercial,2019,6,11,2,14,11XX MELVILLE ST,Central Business District,491117.6931,5459313.0404
Break and Enter Commercial,2019,10,21,2,24,11XX MELVILLE ST,Central Business District,491117.6931,5459313.0404
Break and Enter Commercial,2019,12,6,4,55,11XX NELSON ST,West End,490604.5715,5458943.6516
Break and Enter Commercial,2019,1,15,1,30,11XX NELSON ST,West End,490617.0178,5458944.1501
Break and Enter Commercial,2019,11,23,6,11,11XX PACIFIC BLVD,Central Business District,491254.4355,5457948.2663
Break and Enter Commercial,2019,11,14,5,38,11XX PARKER ST,Strathcona,494212.987,5458133.1651
Break and Enter Commercial,2019,5,10,22,31,11XX PENDRELL ST,West End,490514.5853,5458726.3782
Break and Enter Commercial,2019,1,20,4,31,11XX RICHARDS ST,Central Business District,491058.183,5458236.7356
Break and Enter Commercial,2019,3,9,18,0,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Break and Enter Commercial,2019,6,12,3,10,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Break and Enter Commercial,2019,10,21,1,45,11XX RICHARDS ST,Central Business District,491060.0307,5458238.5924
Break and Enter Commercial,2019,12,16,3,15,11XX ROBSON ST,West End,490889.089,5459126.4404
Break and Enter Commercial,2019,10,5,2,59,11XX ROBSON ST,West End,490892.6123,5459135.8451
Break and Enter Commercial,2019,5,13,3,30,11XX ROBSON ST,West End,490910.2436,5459118.2353
Break and Enter Commercial,2019,6,3,0,0,11XX ROBSON ST,West End,490910.2436,5459118.2353
Break and Enter Commercial,2019,7,21,12,41,11XX ROBSON ST,West End,490910.2436,5459118.2353
Break and Enter Commercial,2019,12,21,19,0,11XX ROBSON ST,West End,490910.3683,5459118.11
Break and Enter Commercial,2019,8,11,0,0,11XX SE MARINE DR,Sunset,493932.9192,5450918.8612
Break and Enter Commercial,2019,8,6,17,12,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.6172
Break and Enter Commercial,2019,8,8,9,26,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.6172
Break and Enter Commercial,2019,7,11,12,26,11XX SEYMOUR ST,Central Business District,490995.7136,5458309.0957
Break and Enter Commercial,2019,7,21,2,45,11XX SEYMOUR ST,Central Business District,490995.7136,5458309.0957
Break and Enter Commercial,2019,8,6,20,33,11XX SEYMOUR ST,Central Business District,490995.7136,5458309.0957
Break and Enter Commercial,2019,1,19,3,47,11XX THE CASTINGS ST,Fairview,490473.3629,5457124.9253
Break and Enter Commercial,2019,7,24,4,6,11XX THE CASTINGS ST,Fairview,490473.3629,5457124.9253
Break and Enter Commercial,2019,10,29,21,0,11XX W 7TH AVE,Fairview,490601.1837,5456949.8635
Break and Enter Commercial,2019,10,18,4,22,11XX W 8TH AVE,Fairview,490530.3092,5456859.0565
Break and Enter Commercial,2019,10,12,9,24,11XX W 8TH AVE,Fairview,490602.4916,5456857.1399
Break and Enter Commercial,2019,4,5,20,0,11XX W BROADWAY AVE,Fairview,490454.11,5456759.286
Break and Enter Commercial,2019,6,20,10,34,11XX W BROADWAY AVE,Fairview,490582.5574,5456746.5637
Break and Enter Commercial,2019,7,31,18,0,11XX W BROADWAY AVE,Fairview,490582.5574,5456746.5637
Break and Enter Commercial,2019,5,17,0,0,11XX W BROADWAY AVE,Fairview,490592.4576,5456746.2881
Break and Enter Commercial,2019,12,22,8,28,11XX W BROADWAY AVE,Fairview,490592.4576,5456746.2881
Break and Enter Commercial,2019,12,12,9,14,11XX W CORDOVA ST,Central Business District,491128.9874,5459617.4195
Break and Enter Commercial,2019,11,22,22,35,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.0787
Break and Enter Commercial,2019,8,18,3,57,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.6198
Break and Enter Commercial,2019,9,16,3,2,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.6198
Break and Enter Commercial,2019,11,12,4,30,11XX W GEORGIA ST,Central Business District,491026.0103,5459251.953
Break and Enter Commercial,2019,5,28,22,0,11XX W PENDER ST,Central Business District,491151.3089,5459458.7793
Break and Enter Commercial,2019,11,15,4,27,11XX W PENDER ST,Central Business District,491171.8637,5459449.436
Break and Enter Commercial,2019,1,3,4,30,12XX BARCLAY ST,West End,490543.4854,5459179.0391
Break and Enter Commercial,2019,4,23,1,30,12XX BARCLAY ST,West End,490543.4854,5459179.0391
Break and Enter Commercial,2019,1,18,0,0,12XX BARCLAY ST,West End,490567.8497,5459142.5978
Break and Enter Commercial,2019,1,8,12,59,12XX BARCLAY ST,West End,490568.5327,5459141.9334
Break and Enter Commercial,2019,6,7,4,0,12XX BARCLAY ST,West End,490568.5327,5459141.9334
Break and Enter Commercial,2019,5,1,23,0,12XX BARCLAY ST,West End,490584.47,5459139.1922
Break and Enter Commercial,2019,3,28,0,39,12XX BIDWELL ST,West End,489771.3802,5459261.7673
Break and Enter Commercial,2019,1,5,12,0,12XX BURNABY ST,West End,490118.7792,5458809.0785
Break and Enter Commercial,2019,12,23,0,0,12XX BURNABY ST,West End,490151.5668,5458788.482
Break and Enter Commercial,2019,11,20,8,20,12XX BURNABY ST,West End,490160.1998,5458766.4917
Break and Enter Commercial,2019,8,23,10,42,12XX BURNABY ST,West End,490194.7626,5458730.9551
Break and Enter Commercial,2019,12,5,5,0,12XX BURNABY ST,West End,490194.7626,5458730.9551
Break and Enter Commercial,2019,4,19,13,54,12XX BURNABY ST,West End,490199.1544,5458739.5545
Break and Enter Commercial,2019,9,12,19,0,12XX BURRARD ST,West End,490564.1362,5458455.1585
Break and Enter Commercial,2019,12,10,15,56,12XX BUTE ST,West End,490290.4936,5458774.4614
Break and Enter Commercial,2019,12,3,9,8,12XX CARDERO ST,West End,489880.677,5459144.9701
Break and Enter Commercial,2019,7,4,19,0,12XX CARTWRIGHT ST,Fairview,490372.7,5457436.264
Break and Enter Commercial,2019,8,22,14,31,12XX CLARK DR,Strathcona,494371.7689,5457854.1657
Break and Enter Commercial,2019,4,10,4,30,12XX DAVIE ST,West End,490200.93,5458897.5679
Break and Enter Commercial,2019,10,8,8,12,12XX DAVIE ST,West End,490242.6338,5458856.48
Break and Enter Commercial,2019,12,30,3,30,12XX DAVIE ST,West End,490268.6528,5458818.0092
Break and Enter Commercial,2019,2,8,17,0,12XX E 7TH AVE,Mount Pleasant,494234.6812,5456839.4496
Break and Enter Commercial,2019,5,1,8,0,12XX E 7TH AVE,Mount Pleasant,494285.2755,5456838.7178
Break and Enter Commercial,2019,8,22,18,0,12XX E 8TH AVE,Mount Pleasant,494273.4758,5456738.116
Break and Enter Commercial,2019,11,14,17,23,12XX E HASTINGS ST,Strathcona,494293.8321,5458734.1236
Break and Enter Commercial,2019,10,8,2,0,12XX E PENDER ST,Strathcona,494273.1762,5458624.7519
Break and Enter Commercial,2019,1,3,7,47,12XX FRANCES ST,Strathcona,494262.205,5458533.4997
Break and Enter Commercial,2019,7,16,4,42,12XX GRANVILLE ST,Central Business District,490713.5555,5458170.1883
Break and Enter Commercial,2019,12,5,10,38,12XX GRANVILLE ST,Central Business District,490736.9133,5458181.0442
